old_url,new_url,old_size_bytes,new_size_bytes,status,delivery,error
https://f003.backblazeb2.com/file/StrayKids/media/images/6e4423c64dff20d673f40a1e2ac9f101451cf5aa.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931382/ksync/images/oversized/fe18459a3d031c407e01e2cbcfb0131845cc9351.webp,14873722,467028,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/aea8941a6869cc9116104ae7f8f82d52c5da06ae.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931387/ksync/images/oversized/0d808f7506391879b784eb1d860221d19d47416f.webp,12240300,324404,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/74e24c698404d9250e79b9d1d2026de314e41a80.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931393/ksync/images/oversized/5d23ada2dd34f8f70cc68280705675fd163ab0e6.webp,14520332,370196,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/8e1caf97e4f2245f1efdb860723f16c9fd027eff.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931402/ksync/images/oversized/29cb3dbd8558f86cf35c73465385e45665196ebd.webp,28786474,1130848,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/6ce479bb99c560b2d6ce5d11688d7a84c0466570.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931408/ksync/images/oversized/37a0a574a256f09aa615f1c23732d64255a01636.webp,12357978,1551242,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/c564c5d48bf2f253f5b9f65bb9519e7fe01929e2.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931414/ksync/images/oversized/d3606afcd4dc6026dcbb6827509dca87fcb2a6b8.webp,12751718,559764,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/922c87066aea282ac11fda68474ed38c002c5f6d.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931427/ksync/images/oversized/76567fee149167994bc40363695369a7b491e58d.webp,35314074,124200,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/c1c7df7289a0890dd1dc3f114e7f20ee92e4db91.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931437/ksync/images/oversized/ef4cddedb147344fd34fc6bf0c88d5ea8fedd731.webp,29919894,1276268,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/77b2b8577025c4e01d7ea98285349e885f877bd1.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931442/ksync/images/oversized/42b2bc5aa7daa12d546f8fe2f1cf83107ddb89bc.webp,13311752,970646,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/4ab67b0231ca38fa907a3411ca028bb436efd7d7.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931447/ksync/images/oversized/d1b82c73e5a306645137c34dd620630f850dd4f1.webp,13580754,309610,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/3f78fe36620979039b4f2922f2b8677217ab07ec.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931457/ksync/images/oversized/be69bb549898a9ad6e4f291c137473a702b20ca1.webp,31696856,965112,optimized,cloudinary_optimized,
https://f003.backblazeb2.com/file/StrayKids/media/images/f65d67e40783d8db3b029f7e5099f9d1c8369004.webp,https://res.cloudinary.com/diuanqnce/image/upload/v1773931463/ksync/images/oversized/d350ba4b2ffddaf76cba642a74b4aed3c8ac4264.webp,17420332,827790,optimized,cloudinary_optimized,
